St. John's College (Annapolis)	(410) 263-2371
University of Redlands (Redlands)	(909) 793-2121
Crafton Hills College (Yucaipa)	(909) 794-2161
California State Polytechnic University, Pomona (Pomona)	(909) 869-7659
Cape Fear Community College (Wilmington)	(910) 362-7000
Coastal Carolina Community College (Jacksonville)	(910) 455-1221
University of North Carolina at Pembroke (Pembroke)	(910) 521-6000
Methodist University (Fayetteville)	(910) 630-7000
Fayetteville State University (Fayetteville)	(910) 672-1111
University of North Carolina at Wilmington (Wilmington)	(910) 962-3000
Armstrong State University (Savannah)	(912) 344-2576
Savannah State University (Savannah)	(912) 356-2256
Georgia Southern University (Statesboro)	(912) 478-4636
Brewton–Parker College (Mount Vernon)	(912) 583-2241
Benedictine College (Atchison)	(913) 367-5340
Johnson County Community College (Overland Park)	(913) 469-8500
State University of New York at Purchase (Harrison)	(914) 251-6000
Sarah Lawrence College (Bronxville)	(914) 337-0700
New York Medical College (Valhalla)	(914) 594-4000
Iona College (New Rochelle)	(914) 633-2000
Manhattanville College (Harrison)	(914) 694-2200
University of Texas at El Paso (El Paso)	(915) 747-5000
El Paso Community College (El Paso)	(915) 831-3722
California State University, Sacramento (Sacramento)	(916) 278-6011
Holy Cross College	(916) 371-1313
American River College (Sacramento)	(916) 484-8011
Sacramento City College (Sacramento)	(916) 558-2111
William Jessup University (Rocklin)	(916) 577-2200
Sierra College (Rocklin)	(916) 624-3333
Oklahoma Wesleyan University (Bartlesville)	(918) 335-6219
Rogers State University (Claremore)	(918) 343-7777
Northeastern State University (Tahlequah)	(918) 456-5511
Oral Roberts University (Tulsa)	(918) 495-6161
Oklahoma State University–Tulsa (Tulsa)	(918) 594-8000
Tulsa Community College (Tulsa)	(918) 595-7000
University of Tulsa (Tulsa)	(918) 631-2000
Louisburg College (Louisburg)	(919) 496-2521
William Peace University (Raleigh)	(919) 508-2000
North Carolina State University (Raleigh)	(919) 515-2011
St. Augustine's University (Raleigh)	(919) 516-4000
North Carolina Central University (Durham)	(919) 530-6100
Durham Technical Community College (Durham)	(919) 536-7200
Duke University (Durham)	(919) 684-8111
Meredith College (Raleigh)	(919) 760-8600
Southeastern Baptist Theological Seminary (Wake Forest)	(919) 761-2100
Shaw University	(919) 828-1730
Wake Technical Community College (Raleigh)	(919) 866-5000
University of North Carolina at Chapel Hill (Chapel Hill)	(919) 962-2211
St. Norbert College (De Pere)	(920) 337-3181
University of Wisconsin–Oshkosh (Oshkosh)	(920) 424-1234
University of Wisconsin–Green Bay (Green Bay)	(920) 465-2000
Northeast Wisconsin Technical College (Green Bay)	(920) 498-5400
Lakeland College (Plymouth)	(920) 565-1000
Silver Lake College (Manitowoc)	(920) 686-6175
Fox Valley Technical College (Appleton)	(920) 735-5600
Ripon College (Ripon)	(920) 748-8115
Lawrence University (Appleton)	(920) 832-7000
Marian University (Fond du Lac)	(920) 923-7600
Saint Mary's College of California (Moraga)	(925) 631-4000
Diablo Valley College (Pleasant Hill)	(925) 685-1230
Arizona Western College (Yuma)	(928) 317-6000
Yavapai College (Prescott)	(928) 445-7300
Northern Arizona University (Flagstaff)	(928) 523-9011
Coconino County Community College (Flagstaff)	(928) 527-1222
Prescott College (Prescott)	(928) 713-8203
Austin Peay State University (Clarksville)	(931) 221-7011
Tennessee Technological University (Cookeville)	(931) 372-3101
Motlow State Community College (Tullahoma)	(931) 393-1500
Columbia State Community College (Columbia)	(931) 540-2722
Sewanee: The University of the South (Sewanee)	(931) 598-1000
Prairie View A&M University (Prairie View)	(936) 261-3311
Sam Houston State University (Huntsville)	(936) 294-1111
Stephen F. Austin State University (Nacogdoches)	(936) 468-3401
Angelina College (Lufkin)	(936) 639-1301
University of Dayton (Dayton)	(937) 229-1000
Air Force Institute of Technology	(937) 255-6565
Clark State Community College (Springfield)	(937) 325-0691
Wittenberg University (Springfield)	(937) 327-6231
Central State University	(937) 376-6011
Sinclair Community College (Dayton)	(937) 512-3000
Cedarville University (Cedarville)	(937) 766-7700
Urbana University (Urbana)	(937) 772-9200
Wright State University (Dayton)	(937) 775-3333
Midwestern State University (Wichita Falls)	(940) 397-4000
University of North Texas (Denton)	(940) 565-2000
North Central Texas College (Gainesville)	(940) 668-7731
Texas Woman's University (Denton)	(940) 898-2000
Ringling College of Art and Design (Sarasota)	(941) 351-5100
University of South Florida Sarasota–Manatee (Sarasota)	(941) 359-4200
New College of Florida (Sarasota)	(941) 487-5000
State College of Florida, Manatee–Sarasota (Bradenton)	(941) 752-5000
Brandman University (Irvine)	(949) 753-4774
University of California, Irvine (Irvine)	(949) 824-5011
Concordia University (Irvine)	(949) 854-8002
Riverside City College (Riverside)	(951) 222-8000
California Baptist University (Riverside)	(951) 689-5771
La Sierra University (Riverside)	(951) 785-2000
University of California, Riverside (Riverside)	(951) 827-1012
Normandale Community College (Bloomington)	(952) 358-8200
Crown College (St. Bonifacius, Minnesota)	(952) 446-4100
Broward College (Fort Lauderdale)	(954) 201-6800
Keiser University (Fort Lauderdale)	(954) 776-4456
Texas A&M International University (Laredo)	(956) 326-2001
University of Texas at Brownsville (Brownsville)	(956) 882-8200
Fort Lewis College (Durango)	(970) 247-7010
Colorado Mesa University (Grand Junction)	(970) 248-1020
Western Colorado Community College (Grand Junction)	(970) 255-2600
Aims Community College (Greeley)	(970) 330-8008
University of Northern Colorado (Greeley)	(970) 351-1890
Colorado State University (Fort Collins)	(970) 491-6444
Colorado Mountain College (Glenwood Springs)	(970) 945-8691
Portland Community College (Portland)	(971) 722-6111
Richland College (Dallas)	(972) 238-6100
Dallas Christian College (Dallas)	(972) 241-3371
North Lake College (Irving)	(972) 273-3000
University of Dallas (Irving)	(972) 721-5000
Brookhaven College (Farmers Branch)	(972) 860-4700
Collin College (McKinney)	(972) 881-5790
University of Texas at Dallas (Richardson)	(972) 883-2111
Southwestern Assemblies of God University (Waxahachie)	(972) 937-4010
College of Saint Elizabeth (Morristown)	(973) 290-4000
Rutgers–Newark (Newark)	(973) 353-1766
Drew University (Madison)	(973) 408-3000
New Jersey Institute of Technology (Newark)	(973) 596-3000
Caldwell University (Caldwell)	(973) 618-3000
Montclair State University (Montclair)	(973) 655-4000
William Paterson University (Wayne)	(973) 720-2000
Bloomfield College (Bloomfield)	(973) 748-9000
Seton Hall University (South Orange)	(973) 761-9000
Essex County College (Newark)	(973) 877-3000
Gordon–Conwell Theological Seminary (South Hamilton)	(978) 468-7111
Salem State University (Salem)	(978) 542-6000
Northern Essex Community College (Haverhill)	(978) 556-3000
Fitchburg State University (Fitchburg)	(978) 665-3000
Merrimack College (North Andover)	(978) 837-5000
Endicott College (Beverly)	(978) 927-0585
Gordon College (Wenham)	(978) 927-2300
University of Massachusetts Lowell (Lowell)	(978) 934-4000
Blinn College (Brenham)	(979) 830-4000
Texas A&M University (College Station)	(979) 845-3211
Texas A&M University Corps of Cadets (College Station)	(979) 862-2862
Johnson & Wales University-Charlotte (Charlotte)	(980) 598-1000
Southeastern Louisiana University (Hammond)	(985) 549-2000
Mid Michigan Community College (Harrison)	(989) 386-6622
Alma College (Alma)	(989) 463-7111
Delta College (University Center)	(989) 686-9000
Central Michigan University (Mount Pleasant)	(989) 774-4000
Saginaw Valley State University (University Center)	(989) 964-4000
Burman University (Lacombe)	+1 403-782-3381
St. Michael's College, Toronto (Toronto)	+1 416-926-1300
Carleton University (Ottawa)	+1 613-520-2600
Queen's University (Kingston)	+1 613-533-2000
University of the Southern Caribbean (Saint Joseph)	+1 868-662-2241
Saint Mary's University (Halifax Regional Municipality)	+1 902-420-5400
St. Francis Xavier University (Antigonish)	+1 902-863-3300
North-West University (Potchefstroom)	+27 18 389 2111
Edgewood College (Madison)	+27 31 260 3414
Hotelschool The Hague (The Hague)	+31 70 351 2481
CEFAM (Lyon)	+33 4 72 85 73 63
The American College, Dublin	+353 1 676 8939
Lorenzo de' Medici School	+39 055 283142
Pontifical University of Saint Thomas Aquinas (Rome)	+39 06 67021
Webster University Geneva (Bellevue)	+41 22 959 80 00
Newbold College of Higher Education (Bracknell)	+44 1344 407407
University of Oxford (Oxford)	+44 1865 270000
West London College (London)	+44 20 7491 1841
South & West Kent College (Tonbridge)	+44 845 207 8220
Red Cross Nordic United World College (Flekke)	+47 57 73 70 00
Taylor's University (Subang Jaya)	+60 3-5636 2641
Australian Catholic University (Sydney)	+61 2 9739 2258
James Cook University (Townsville)	+61 7 4781 4111
De La Salle University (Manila)	+63 2 524 4611
University of the East (Manila)	+63 2 735 5471
Moscow State Mining University (Moscow)	+7 499 230-23-10
Osaka Institute of Technology (Osaka)	+81 6-6954-4097
Republic of China Military Academy (Kaohsiung)	+886 7 746 2151
Himachal Pradesh University (Shimla)	+91 177 283 0912
Kakatiya University (Warangal)	+91 870 243 8866
Rochester Institute of Technology - Dubai (Dubai)	+971 4 371 2000
Bar-Ilan University (Ramat Gan)	+972 3-531-8111
Ouachita Baptist University	800-342-5628
